ID	Heure de début	Heure de fin	Adresse de messagerie	Nom	Quelle est votre connaissance, à priori, du DevOps ?	Selon vous, que permet le DevOps ?	Selon vous, pour faire du DevOps, il faut quoi ?	Avez-vous un intérêt pour le DevOps ?	Mon secteur/groupe
1	6-3-21 14:21:22	6-3-21 14:22:52	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;"	"De la formation DevOps;Une vision DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;Une culture DevOps;Des outils de monitoring;"	5	DEV - Applicatif
2	6-3-21 14:20:19	6-3-21 14:23:51	anonymous		3	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;Augmenter la qualité;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Une culture DevOps;"	4	DEV - Applicatif
3	6-3-21 14:19:49	6-3-21 14:24:42	anonymous		3	"Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Adopter une culture ""lean"";"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;"	4	DEV - Applicatif
4	6-3-21 14:20:41	6-3-21 14:26:07	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation de déploiement;Une infrastructure Cloud;Une gestion des configurations;De la formation DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils de monitoring;Des outils d'automatisation d'intégration;"	1	DEV - Applicatif
5	6-3-21 14:26:19	6-3-21 14:31:59	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Des outils d'automatisation de déploiement;Des tests automatisés;"	4	DEV - Applicatif
6	6-3-21 14:30:48	6-3-21 14:32:05	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	Gestion (direction)
7	6-3-21 14:30:46	6-3-21 14:32:25	anonymous		2	"Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;De la formation DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
8	6-3-21 14:43:35	6-3-21 14:44:36	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Une infrastructure Cloud;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
9	6-3-21 14:42:31	6-3-21 14:45:02	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
10	6-3-21 14:42:11	6-3-21 14:45:34	anonymous		3	"Réduire le temps de livraison au client;Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Briser les silos entre les équipes DEV / Projets / Outils ...;Une vision DevOps;"	4	DEV - Applicatif
